($ in millions),"For the year ended December 31, 2025:",,,
---------------------------------------------------,--------------------------------------------------------------,-----------------,------,------
Before Tax Amount,Tax (Expense)/ Benefit,Net of Tax Amount,,
Other comprehensive income/(loss),Foreign currency translation adjustments,$(972),$528,$(445)
,Net unrealized gains/(losses) on available-for-sale securities,$(1),$0,$(1)
,Unrealized gains/(losses) on cash flow hedges,,,
,Unrealized gains/(losses) arising during the period,$(66),$8,$(58)
,Reclassification of (gains)/losses to:,,,
,Cost of services,27,(7),20
,Cost of sales,15,(4),11
,Cost of financing,4,(1),3
,SG\&A expense,6,(2),4
,Other (income) and expense,(525),132,(393)
,Interest expense,24,(6),18
Total unrealized gains/(losses) on cash flow hedges,$(514),$121,$(394),
Retirement-related benefit plans (1),Prior service costs/(credits),$(469),$117,$(351)
,Net gains/(losses) arising during the period,392,(168),224
,Curtailments and settlements,9,(3),6
,Amortization of prior service costs/(credits),(7),2,(5)
,Amortization of net (gains)/losses,623,(104),519
Total retirement-related benefit plans,$548,$(154),$394,
Other comprehensive income/(loss),$(939),$494,$(445),
